ascent = 21
descent = 0
height = 29
xOffset = 4
yOffset = 4
numChars = 216
char = 33; A = 1; B = 5; C = 1; x = 0; y = 20; 
char = 34; A = 0; B = 6; C = 0; x = 13; y = 20; 
char = 35; A = 0; B = 11; C = 0; x = 27; y = 20; 
char = 36; A = 1; B = 11; C = 1; x = 46; y = 20; 
char = 37; A = 0; B = 17; C = 0; x = 65; y = 20; 
char = 38; A = 0; B = 13; C = 0; x = 90; y = 20; 
char = 39; A = 0; B = 3; C = 1; x = 111; y = 20; 
char = 40; A = 0; B = 7; C = 1; x = 122; y = 20; 
char = 41; A = 0; B = 7; C = 0; x = 137; y = 20; 
char = 42; A = 0; B = 8; C = 0; x = 152; y = 20; 
char = 43; A = 1; B = 9; C = 1; x = 168; y = 20; 
char = 44; A = 1; B = 4; C = 1; x = 185; y = 20; 
char = 45; A = 1; B = 6; C = 1; x = 197; y = 20; 
char = 46; A = 1; B = 4; C = 1; x = 211; y = 20; 
char = 47; A = 0; B = 8; C = 1; x = 223; y = 20; 
char = 48; A = 0; B = 11; C = 0; x = 239; y = 20; 
char = 49; A = 2; B = 9; C = 2; x = 258; y = 20; 
char = 50; A = 1; B = 11; C = 0; x = 275; y = 20; 
char = 51; A = 1; B = 10; C = 0; x = 294; y = 20; 
char = 52; A = 0; B = 11; C = 0; x = 312; y = 20; 
char = 53; A = 1; B = 10; C = 0; x = 331; y = 20; 
char = 54; A = 1; B = 11; C = 0; x = 349; y = 20; 
char = 55; A = 1; B = 10; C = 0; x = 368; y = 20; 
char = 56; A = 1; B = 10; C = 0; x = 386; y = 20; 
char = 57; A = 1; B = 10; C = 0; x = 404; y = 20; 
char = 58; A = 1; B = 4; C = 1; x = 422; y = 20; 
char = 59; A = 1; B = 4; C = 1; x = 434; y = 20; 
char = 60; A = 1; B = 10; C = 1; x = 446; y = 20; 
char = 61; A = 1; B = 9; C = 1; x = 464; y = 20; 
char = 62; A = 1; B = 10; C = 1; x = 481; y = 20; 
char = 63; A = 2; B = 9; C = 1; x = 0; y = 49; 
char = 64; A = 0; B = 14; C = 0; x = 17; y = 49; 
char = 65; A = 0; B = 14; C = 0; x = 39; y = 49; 
char = 66; A = 0; B = 13; C = 0; x = 61; y = 49; 
char = 67; A = 0; B = 12; C = 0; x = 82; y = 49; 
char = 68; A = 0; B = 13; C = 0; x = 102; y = 49; 
char = 69; A = 0; B = 12; C = 0; x = 123; y = 49; 
char = 70; A = 0; B = 11; C = 0; x = 143; y = 49; 
char = 71; A = 0; B = 13; C = 0; x = 162; y = 49; 
char = 72; A = 0; B = 14; C = 0; x = 183; y = 49; 
char = 73; A = 0; B = 6; C = 0; x = 205; y = 49; 
char = 74; A = 0; B = 11; C = 0; x = 219; y = 49; 
char = 75; A = 0; B = 14; C = 0; x = 238; y = 49; 
char = 76; A = 0; B = 11; C = 0; x = 260; y = 49; 
char = 77; A = 0; B = 16; C = 0; x = 279; y = 49; 
char = 78; A = 0; B = 13; C = 0; x = 303; y = 49; 
char = 79; A = 0; B = 15; C = 0; x = 324; y = 49; 
char = 80; A = 0; B = 11; C = 0; x = 347; y = 49; 
char = 81; A = 0; B = 15; C = 0; x = 366; y = 49; 
char = 82; A = 0; B = 12; C = 0; x = 389; y = 49; 
char = 83; A = 0; B = 13; C = 0; x = 409; y = 49; 
char = 84; A = 0; B = 11; C = 0; x = 430; y = 49; 
char = 85; A = 0; B = 14; C = 0; x = 449; y = 49; 
char = 86; A = 0; B = 13; C = 0; x = 471; y = 49; 
char = 87; A = 0; B = 18; C = 0; x = 0; y = 78; 
char = 88; A = 0; B = 14; C = 0; x = 26; y = 78; 
char = 89; A = 0; B = 13; C = -1; x = 48; y = 78; 
char = 90; A = 0; B = 12; C = 0; x = 69; y = 78; 
char = 91; A = 2; B = 5; C = 1; x = 89; y = 78; 
char = 92; A = 1; B = 8; C = 0; x = 102; y = 78; 
char = 93; A = 1; B = 4; C = 2; x = 118; y = 78; 
char = 94; A = -1; B = 8; C = -1; x = 130; y = 78; 
char = 95; A = 0; B = 10; C = 0; x = 146; y = 78; 
char = 96; A = 1; B = 5; C = 3; x = 164; y = 78; 
char = 97; A = 0; B = 10; C = 0; x = 177; y = 78; 
char = 98; A = 0; B = 11; C = 0; x = 195; y = 78; 
char = 99; A = 0; B = 10; C = 0; x = 214; y = 78; 
char = 100; A = 0; B = 10; C = 0; x = 232; y = 78; 
char = 101; A = 0; B = 10; C = 0; x = 250; y = 78; 
char = 102; A = 0; B = 8; C = 0; x = 268; y = 78; 
char = 103; A = 0; B = 11; C = 0; x = 284; y = 78; 
char = 104; A = 0; B = 11; C = 0; x = 303; y = 78; 
char = 105; A = 0; B = 5; C = 0; x = 322; y = 78; 
char = 106; A = -1; B = 6; C = 1; x = 335; y = 78; 
char = 107; A = 0; B = 11; C = 0; x = 349; y = 78; 
char = 108; A = 0; B = 5; C = 0; x = 368; y = 78; 
char = 109; A = 0; B = 16; C = 0; x = 381; y = 78; 
char = 110; A = 0; B = 11; C = 0; x = 405; y = 78; 
char = 111; A = 0; B = 11; C = 0; x = 424; y = 78; 
char = 112; A = 0; B = 11; C = 0; x = 443; y = 78; 
char = 113; A = 0; B = 11; C = 0; x = 462; y = 78; 
char = 114; A = 0; B = 8; C = 0; x = 481; y = 78; 
char = 115; A = 0; B = 10; C = 0; x = 0; y = 107; 
char = 116; A = 0; B = 7; C = 0; x = 18; y = 107; 
char = 117; A = 0; B = 12; C = 0; x = 33; y = 107; 
char = 118; A = 0; B = 10; C = 0; x = 53; y = 107; 
char = 119; A = 0; B = 15; C = 0; x = 71; y = 107; 
char = 120; A = 0; B = 11; C = 0; x = 94; y = 107; 
char = 121; A = 0; B = 10; C = 0; x = 113; y = 107; 
char = 122; A = 0; B = 9; C = 0; x = 131; y = 107; 
char = 123; A = 1; B = 5; C = 1; x = 148; y = 107; 
char = 124; A = 3; B = 3; C = 3; x = 161; y = 107; 
char = 125; A = 1; B = 5; C = 1; x = 172; y = 107; 
char = 126; A = 1; B = 9; C = 1; x = 185; y = 107; 
char = 128; A = 0; B = 15; C = 0; x = 202; y = 107; 
char = 129; A = 0; B = 11; C = -1; x = 225; y = 107; 
char = 130; A = 1; B = 4; C = 1; x = 244; y = 107; 
char = 131; A = 0; B = 9; C = 0; x = 256; y = 107; 
char = 132; A = 1; B = 8; C = 1; x = 273; y = 107; 
char = 133; A = 1; B = 16; C = 1; x = 289; y = 107; 
char = 134; A = 2; B = 8; C = 2; x = 313; y = 107; 
char = 135; A = 2; B = 8; C = 2; x = 329; y = 107; 
char = 137; A = 0; B = 25; C = 0; x = 345; y = 107; 
char = 138; A = 0; B = 21; C = 0; x = 378; y = 107; 
char = 139; A = 1; B = 3; C = 1; x = 407; y = 107; 
char = 140; A = 0; B = 21; C = 0; x = 418; y = 107; 
char = 141; A = 0; B = 14; C = 0; x = 447; y = 107; 
char = 142; A = 0; B = 16; C = 0; x = 469; y = 107; 
char = 143; A = 0; B = 13; C = 0; x = 0; y = 136; 
char = 144; A = 0; B = 11; C = 0; x = 21; y = 136; 
char = 145; A = 1; B = 4; C = 1; x = 40; y = 136; 
char = 146; A = 1; B = 4; C = 1; x = 52; y = 136; 
char = 147; A = 1; B = 9; C = 1; x = 64; y = 136; 
char = 148; A = 1; B = 8; C = 1; x = 81; y = 136; 
char = 149; A = 1; B = 5; C = 1; x = 97; y = 136; 
char = 150; A = 1; B = 10; C = 1; x = 110; y = 136; 
char = 151; A = 1; B = 15; C = 1; x = 128; y = 136; 
char = 153; A = 0; B = 16; C = 0; x = 151; y = 136; 
char = 154; A = 0; B = 16; C = 0; x = 175; y = 136; 
char = 155; A = 1; B = 4; C = 1; x = 199; y = 136; 
char = 156; A = 0; B = 16; C = 0; x = 211; y = 136; 
char = 157; A = 0; B = 11; C = 0; x = 235; y = 136; 
char = 158; A = 0; B = 11; C = 0; x = 254; y = 136; 
char = 159; A = 0; B = 10; C = 0; x = 273; y = 136; 
char = 161; A = 0; B = 14; C = 0; x = 291; y = 136; 
char = 162; A = 0; B = 11; C = 0; x = 313; y = 136; 
char = 163; A = 0; B = 11; C = 0; x = 332; y = 136; 
char = 164; A = 1; B = 10; C = 1; x = 351; y = 136; 
char = 165; A = 0; B = 11; C = 0; x = 369; y = 136; 
char = 166; A = 3; B = 3; C = 3; x = 388; y = 136; 
char = 167; A = 1; B = 10; C = 0; x = 399; y = 136; 
char = 168; A = 0; B = 12; C = 0; x = 417; y = 136; 
char = 169; A = 0; B = 14; C = 0; x = 437; y = 136; 
char = 170; A = 0; B = 13; C = 0; x = 459; y = 136; 
char = 171; A = 1; B = 7; C = 1; x = 480; y = 136; 
char = 174; A = 0; B = 14; C = 0; x = 0; y = 165; 
char = 175; A = -1; B = 7; C = -1; x = 22; y = 165; 
char = 176; A = 0; B = 6; C = 0; x = 37; y = 165; 
char = 177; A = 1; B = 10; C = 1; x = 51; y = 165; 
char = 178; A = 0; B = 5; C = 0; x = 69; y = 165; 
char = 179; A = 0; B = 5; C = 0; x = 82; y = 165; 
char = 180; A = 0; B = 8; C = 0; x = 95; y = 165; 
char = 181; A = 0; B = 11; C = 0; x = 111; y = 165; 
char = 183; A = 1; B = 5; C = 1; x = 130; y = 165; 
char = 184; A = 0; B = 10; C = 0; x = 143; y = 165; 
char = 185; A = 0; B = 21; C = 0; x = 161; y = 165; 
char = 186; A = 0; B = 10; C = 0; x = 190; y = 165; 
char = 187; A = 1; B = 7; C = 1; x = 208; y = 165; 
char = 188; A = -1; B = 6; C = 1; x = 223; y = 165; 
char = 189; A = 0; B = 13; C = 0; x = 237; y = 165; 
char = 190; A = 0; B = 10; C = 0; x = 258; y = 165; 
char = 191; A = -1; B = 7; C = -1; x = 276; y = 165; 
char = 192; A = 0; B = 14; C = 0; x = 291; y = 165; 
char = 193; A = 0; B = 13; C = 0; x = 313; y = 165; 
char = 194; A = 0; B = 13; C = 0; x = 334; y = 165; 
char = 195; A = 0; B = 12; C = 0; x = 355; y = 165; 
char = 196; A = 0; B = 15; C = 0; x = 375; y = 165; 
char = 197; A = 0; B = 12; C = 0; x = 398; y = 165; 
char = 198; A = 0; B = 21; C = 0; x = 418; y = 165; 
char = 199; A = 0; B = 12; C = 0; x = 447; y = 165; 
char = 200; A = 0; B = 13; C = 0; x = 467; y = 165; 
char = 201; A = 0; B = 13; C = 0; x = 488; y = 165; 
char = 202; A = 0; B = 14; C = 0; x = 0; y = 194; 
char = 203; A = 0; B = 13; C = 0; x = 22; y = 194; 
char = 204; A = 0; B = 16; C = 0; x = 43; y = 194; 
char = 205; A = 0; B = 13; C = 0; x = 67; y = 194; 
char = 206; A = 0; B = 14; C = 0; x = 88; y = 194; 
char = 207; A = 0; B = 14; C = 0; x = 110; y = 194; 
char = 208; A = 0; B = 11; C = 0; x = 132; y = 194; 
char = 209; A = 0; B = 13; C = 0; x = 151; y = 194; 
